split,instrument,topic,lag,m5_confirmed,m5_score,m5_pvalue,m5_n,m5_reason,m6_confirmed,m6_score,m6_pvalue,m6_n,m6_reason,confirmed,error,elapsed_s
train,USD_RUB,banking,90,False,-0.00034,0.249702,454,z_below_crit,False,0.003832,0.57,365,ic_below_min,False,,0.47
train,USD_RUB,gold,1,False,0.000181,0.865844,454,z_below_crit,False,0.002273,0.51,454,ic_below_min,False,,0.16
train,USD_RUB,gold,7,False,0.00101,0.364526,454,z_below_crit,False,0.007958,0.55,448,ic_below_min,False,,0.17
train,USD_RUB,gold,14,False,5.4e-05,0.965262,454,z_below_crit,False,0.030675,0.72,441,ic_below_min,False,,0.17
train,USD_RUB,gold,30,False,0.000737,0.577542,454,z_below_crit,False,0.020255,0.335,425,ic_below_min,False,,0.24
train,USD_RUB,gold,60,False,-0.000417,0.346605,454,z_below_crit,False,0.001044,0.48,395,ic_below_min,False,,0.34
train,USD_RUB,gold,90,False,-9.9e-05,0.661071,454,z_below_crit,False,0.043729,0.76,365,ic_below_min,False,,0.54
train,EUR_RUB,oil,1,False,0.00086,0.415133,454,z_below_crit,False,0.061381,0.105,454,bootstrap_ci_includes_zero,False,,0.27
train,EUR_RUB,oil,7,False,-0.00083,0.449586,454,z_below_crit,False,0.001291,0.53,448,ic_below_min,False,,0.22
train,EUR_RUB,oil,14,False,0.000584,0.624089,454,z_below_crit,False,0.041734,0.81,441,ic_below_min,False,,0.24
train,EUR_RUB,oil,30,False,0.001852,0.162642,454,z_below_crit,False,0.069768,0.14,425,bootstrap_ci_includes_zero,False,,0.26
train,EUR_RUB,oil,60,False,-0.000132,0.777652,454,z_below_crit,False,0.001975,0.49,395,ic_below_min,False,,0.4
train,EUR_RUB,oil,90,False,-6.4e-05,0.806113,454,z_below_crit,False,0.019588,0.305,365,ic_below_min,False,,0.53
train,EUR_RUB,rate,1,False,0.000186,0.752745,454,z_below_crit,False,0.095006,0.93,454,ic_below_min,False,,0.2
train,EUR_RUB,rate,7,False,0.000203,0.810121,454,z_below_crit,False,0.039383,0.2,448,bootstrap_ci_includes_zero,False,,0.21
train,EUR_RUB,rate,14,False,0.000334,0.754178,454,z_below_crit,False,0.037805,0.245,441,bootstrap_ci_includes_zero,False,,0.21
train,EUR_RUB,rate,30,False,-5e-06,0.997102,454,z_below_crit,False,0.047934,0.815,425,ic_below_min,False,,0.28
