window_start,instrument,topic,lag,m5_p,m5_score,m5_n,m6_ic,m6_p,m6_n,research,production,error
2022-01-02,USD_RUB,oil,1,1.0,0.0,125,0.0,1.0,124,False,False,
2022-01-02,USD_RUB,oil,7,1.0,0.0,125,0.0,1.0,118,False,False,
2022-01-02,USD_RUB,oil,14,1.0,0.0,125,0.0,1.0,111,False,False,
2022-01-02,USD_RUB,oil,30,1.0,0.0,125,0.0,1.0,95,False,False,
2022-01-02,USD_RUB,oil,60,1.0,0.0,125,0.0,1.0,65,False,False,
2022-01-02,USD_RUB,rate,1,1.0,0.0,125,0.0,1.0,124,False,False,
2022-01-02,USD_RUB,rate,7,1.0,0.0,125,0.0,1.0,118,False,False,
2022-01-02,USD_RUB,rate,14,1.0,0.0,125,0.0,1.0,111,False,False,
2022-01-02,USD_RUB,rate,30,1.0,0.0,125,0.0,1.0,95,False,False,
2022-01-02,USD_RUB,rate,60,1.0,0.0,125,0.0,1.0,65,False,False,
2022-01-02,USD_RUB,ruble,1,1.0,0.0,125,0.0,1.0,124,False,False,
2022-01-02,USD_RUB,ruble,7,1.0,0.0,125,0.0,1.0,118,False,False,
2022-01-02,USD_RUB,ruble,14,1.0,0.0,125,0.0,1.0,111,False,False,
2022-01-02,USD_RUB,ruble,30,1.0,0.0,125,0.0,1.0,95,False,False,
2022-01-02,USD_RUB,ruble,60,1.0,0.0,125,0.0,1.0,65,False,False,
2022-01-02,USD_RUB,sanctions,1,1.0,0.0,125,0.0,1.0,124,False,False,
2022-01-02,USD_RUB,sanctions,7,1.0,0.0,125,0.0,1.0,118,False,False,
2022-01-02,USD_RUB,sanctions,14,1.0,0.0,125,0.0,1.0,111,False,False,
2022-01-02,USD_RUB,sanctions,30,1.0,0.0,125,0.0,1.0,95,False,False,
2022-01-02,USD_RUB,sanctions,60,1.0,0.0,125,0.0,1.0,65,False,False,
2022-01-02,USD_RUB,inflation,1,1.0,0.0,125,0.0,1.0,124,False,False,
2022-01-02,USD_RUB,inflation,7,1.0,0.0,125,0.0,1.0,118,False,False,
2022-01-02,USD_RUB,inflation,14,1.0,0.0,125,0.0,1.0,111,False,False,
2022-01-02,USD_RUB,inflation,30,1.0,0.0,125,0.0,1.0,95,False,False,
2022-01-02,USD_RUB,inflation,60,1.0,0.0,125,0.0,1.0,65,False,False,
2022-01-02,USD_RUB,banking,1,1.0,0.0,125,0.0,1.0,124,False,False,
2022-01-02,USD_RUB,banking,7,1.0,0.0,125,0.0,1.0,118,False,False,
2022-01-02,USD_RUB,banking,14,1.0,0.0,125,0.0,1.0,111,False,False,
2022-01-02,USD_RUB,banking,30,1.0,0.0,125,0.0,1.0,95,False,False,
2022-01-02,USD_RUB,banking,60,1.0,0.0,125,0.0,1.0,65,False,False,
2022-01-02,USD_RUB,gold,1,1.0,0.0,125,0.0,1.0,124,False,False,
2022-01-02,USD_RUB,gold,7,1.0,0.0,125,0.0,1.0,118,False,False,
