split,instrument,topic,lag,m5_confirmed,m5_score,m5_pvalue,m5_n,m5_reason,m6_confirmed,m6_score,m6_pvalue,m6_n,m6_reason,confirmed,error,elapsed_s
train,SP500,oil_emb,1,False,-0.000242,0.618613,541,z_below_crit,False,0.004631,0.485,541,ic_below_min,False,,1.72
train,SP500,oil_emb,7,False,-0.00013,0.776548,541,z_below_crit,False,0.029418,0.76,535,ic_below_min,False,,0.21
train,SP500,oil_emb,14,False,0.000591,0.195419,541,z_below_crit,False,0.025083,0.29,528,bootstrap_ci_includes_zero,False,,0.22
train,SP500,oil_emb,30,False,0.000172,0.73908,541,z_below_crit,True,0.073947,0.05,512,ok,False,,0.27
train,SP500,oil_emb,60,False,-8.7e-05,0.573718,541,z_below_crit,False,0.085227,0.055,482,bootstrap_ci_includes_zero,False,,0.41
train,SP500,oil_emb,90,False,-4.3e-05,0.629837,541,z_below_crit,False,0.04157,0.215,452,bootstrap_ci_includes_zero,False,,0.52
train,SP500,rate_emb,1,False,-7.5e-05,0.877967,541,z_below_crit,False,0.001994,0.455,541,ic_below_min,False,,0.19
train,SP500,rate_emb,7,False,-0.000474,0.34545,541,z_below_crit,False,0.01598,0.66,535,ic_below_min,False,,0.21
train,SP500,rate_emb,14,False,0.000457,0.372816,541,z_below_crit,False,0.022821,0.36,528,bootstrap_ci_includes_zero,False,,0.2
train,SP500,rate_emb,30,False,0.000465,0.382449,541,z_below_crit,False,0.018572,0.285,512,bootstrap_ci_includes_zero,False,,0.24
train,SP500,rate_emb,60,False,-2.5e-05,0.848671,541,z_below_crit,False,0.025207,0.755,482,ic_below_min,False,,0.48
train,SP500,rate_emb,90,False,7e-06,0.89194,541,z_below_crit,False,0.04681,0.815,452,ic_below_min,False,,0.46
train,SP500,ruble_emb,1,True,0.001013,0.037481,541,ok,False,0.026493,0.325,541,bootstrap_ci_includes_zero,False,,0.18
train,SP500,ruble_emb,7,False,-0.000801,0.106072,541,z_below_crit,False,0.066444,0.92,535,ic_below_min,False,,0.19
train,SP500,ruble_emb,14,False,0.000258,0.618696,541,z_below_crit,False,0.079561,0.965,528,ic_below_min,False,,0.24
train,SP500,ruble_emb,30,False,-0.00098,0.071976,541,z_below_crit,False,0.009249,0.54,512,ic_below_min,False,,0.23
train,SP500,ruble_emb,60,False,-0.000145,0.352567,541,z_below_crit,False,0.06017,0.905,482,ic_below_min,False,,0.36
train,SP500,ruble_emb,90,False,-3e-06,0.969793,541,z_below_crit,False,0.002781,0.51,452,ic_below_min,False,,0.49
train,SP500,sanctions_emb,1,False,-0.000619,0.171343,541,z_below_crit,False,0.053618,0.165,541,bootstrap_ci_includes_zero,False,,0.17
train,SP500,sanctions_emb,7,False,-0.000782,0.091612,541,z_below_crit,False,0.05529,0.105,535,bootstrap_ci_includes_zero,False,,0.17
train,SP500,sanctions_emb,14,False,0.000681,0.153408,541,z_below_crit,False,0.036015,0.78,528,ic_below_min,False,,0.17
train,SP500,sanctions_emb,30,False,0.000179,0.744711,541,z_below_crit,False,0.001646,0.55,512,ic_below_min,False,,0.26
train,SP500,sanctions_emb,60,False,3.7e-05,0.753761,541,z_below_crit,False,0.061995,0.915,482,ic_below_min,False,,0.34
train,SP500,sanctions_emb,90,False,-9e-06,0.834648,541,z_below_crit,False,0.00579,0.45,452,ic_below_min,False,,0.5
train,SP500,inflation_emb,1,False,3.5e-05,0.940648,541,z_below_crit,False,0.048447,0.825,541,ic_below_min,False,,0.17
train,SP500,inflation_emb,7,False,-0.000457,0.335525,541,z_below_crit,False,0.101101,0.995,535,ic_below_min,False,,0.22
