dataset,n_tp,n_fp,n_tn,n_fn,tpr,fpr,precision,f1
S1,0,6,594,0,,0.01,0.0,
S2,0,5,595,0,,0.0083,0.0,
S3,100,11,489,0,1.0,0.022,0.9009,0.9479
S4,100,14,1086,0,1.0,0.0127,0.8772,0.9346
S5,200,13,1587,0,1.0,0.0081,0.939,0.9685
S6,0,81,519,0,,0.135,0.0,
