instrument,topic,lag,m5_pvalue,m5_score,m6_ic,m6_confirmed,m5_confirmed,ensemble_pass,config_id,split,regime
SP500,oil,1,0.662653,-0.000201,0.053872,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,oil,7,0.517128,-0.000262,0.036254,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,rate,14,0.528677,0.000226,0.03006,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,rate,30,0.934799,-4.4e-05,0.031378,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,ruble,7,0.910762,-5.6e-05,0.047408,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,ruble,30,0.076173,-0.001069,0.041347,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,inflation,14,0.59475,0.000194,0.065512,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,banking,7,0.370129,-0.000342,0.053611,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,gold,7,0.852431,-8.4e-05,0.09417,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,oil,1,0.415133,0.00086,0.061381,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,oil,14,0.624089,0.000584,0.041734,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,oil,30,0.162642,0.001852,0.069768,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,rate,1,0.752745,0.000186,0.095006,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,rate,7,0.810121,0.000203,0.039383,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,rate,14,0.754178,0.000334,0.037805,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,rate,30,0.997102,-5e-06,0.047934,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,ruble,1,0.764592,0.000379,0.04423,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,ruble,7,0.488441,0.000896,0.048318,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,ruble,14,0.967569,-5.4e-05,0.118316,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,sanctions,1,0.077713,0.001614,0.134829,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,sanctions,7,0.977451,-2.8e-05,0.031252,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,sanctions,14,0.152658,-0.001714,0.074295,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,sanctions,30,0.634892,-0.000598,0.072629,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,inflation,1,0.879772,0.00011,0.035137,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,inflation,7,0.9352,7.6e-05,0.037075,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,inflation,14,0.542178,0.000691,0.033775,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,banking,14,0.815778,0.000254,0.064515,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,banking,30,0.678954,0.000579,0.079218,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,gold,14,0.965262,5.4e-05,0.030675,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,oil,1,0.415133,0.00086,0.061381,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,oil,14,0.624089,0.000584,0.041734,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,oil,30,0.162642,0.001852,0.069768,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,rate,1,0.752745,0.000186,0.095006,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,rate,7,0.810121,0.000203,0.039383,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,rate,14,0.754178,0.000334,0.037805,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,rate,30,0.997102,-5e-06,0.047934,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,ruble,1,0.764592,0.000379,0.04423,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,ruble,7,0.488441,0.000896,0.048318,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,ruble,14,0.967569,-5.4e-05,0.118316,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,sanctions,1,0.077713,0.001614,0.134829,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,sanctions,7,0.977451,-2.8e-05,0.031252,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,sanctions,14,0.152658,-0.001714,0.074295,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,sanctions,30,0.634892,-0.000598,0.072629,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,inflation,1,0.879772,0.00011,0.035137,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,inflation,7,0.9352,7.6e-05,0.037075,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,inflation,14,0.542178,0.000691,0.033775,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,banking,14,0.815778,0.000254,0.064515,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,banking,30,0.678954,0.000579,0.079218,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
EUR_RUB,gold,14,0.965262,5.4e-05,0.030675,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,oil,7,0.469521,-0.000352,0.044366,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,rate,30,0.525856,-0.000409,0.038598,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,ruble,14,0.846896,0.000107,0.070634,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,ruble,30,0.411249,-0.00053,0.03314,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,sanctions,1,0.777909,0.000106,0.125549,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,sanctions,7,0.49843,0.00027,0.047629,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,sanctions,14,0.016709,0.001097,0.038281,True,True,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,sanctions,30,0.132528,-0.000803,0.051112,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,inflation,1,0.442601,-0.00023,0.045735,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,inflation,14,0.885816,-7.3e-05,0.049795,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,inflation,30,0.917826,-6.7e-05,0.077213,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,banking,1,0.877464,-5.5e-05,0.061231,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,banking,7,0.918654,4.5e-05,0.109166,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,banking,14,0.773403,-0.000136,0.085671,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,banking,30,0.545942,0.000358,0.086725,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,gold,1,0.963799,2e-05,0.0482,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,gold,7,0.015972,-0.001177,0.037981,True,True,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,gold,14,0.179196,-0.000737,0.062601,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
DJ_SOUTH_AFRICA,gold,30,0.863195,0.000102,0.069643,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
MSCI_WORLD,oil,14,0.758271,-0.000151,0.079041,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
MSCI_WORLD,oil,30,0.54651,-0.000334,0.038784,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
MSCI_WORLD,rate,1,0.829646,-5.1e-05,0.08508,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
MSCI_WORLD,rate,7,0.457895,-0.000253,0.043848,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
MSCI_WORLD,rate,14,0.753367,0.000132,0.044358,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
MSCI_WORLD,rate,30,0.423852,-0.000467,0.114601,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
